Station,Year,Rainfall (mm)
"Dolpa, Dunai ",2007,175
"Dolpa, Dunai ",2008,292
"Dolpa, Dunai ",2009,200
"Dolpa, Dunai ",2010,458
"Dolpa, Dunai ",2011,441
"Dolpa, Dunai ",2012,NA 
"Doti, Dipayal ",2001,998
"Doti, Dipayal ",2002,1025
"Doti, Dipayal ",2003,1261
"Doti, Dipayal ",2004,1034
"Doti, Dipayal ",2005,987
"Doti, Dipayal ",2006,907
"Doti, Dipayal ",2007,1035
"Doti, Dipayal ",2008,1096
"Doti, Dipayal ",2009,1359
"Doti, Dipayal ",2010,954
"Doti, Dipayal ",2011,176
"Doti, Dipayal ",2012,982
"Gorkha,Gorkha ",2001,1872
"Gorkha,Gorkha ",2002,1743
"Gorkha,Gorkha ",2003,1729
"Gorkha,Gorkha ",2004,1613
"Gorkha,Gorkha ",2005,1277
"Gorkha,Gorkha ",2006,1114
"Gorkha,Gorkha ",2007,1763
"Gorkha,Gorkha ",2008,NA 
"Gorkha,Gorkha ",2009,1476
"Gorkha,Gorkha ",2010,1900
"Gorkha,Gorkha ",2011,1999
"Gorkha,Gorkha ",2012,1896
"Gulmi,Tamghas ",2001,1974
"Gulmi,Tamghas ",2002,1399
"Gulmi,Tamghas ",2003,2314
"Gulmi,Tamghas ",2004,1234
"Gulmi,Tamghas ",2005,1570
"Gulmi,Tamghas ",2006,1457
"Gulmi,Tamghas ",2007,2239
"Gulmi,Tamghas ",2008,1773
"Gulmi,Tamghas ",2009,1794
"Gulmi,Tamghas ",2010,1490
"Gulmi,Tamghas ",2011,1807
"Gulmi,Tamghas ",2012,1923
"Ilam,ilam Tea State ",2001,1331
"Ilam,ilam Tea State ",2002,1542
"Ilam,ilam Tea State ",2003,2001
"Ilam,ilam Tea State ",2004,NA
"Ilam,ilam Tea State ",2005,NA
"Ilam,ilam Tea State ",2006,1119
"Ilam,ilam Tea State ",2007,NA 
"Ilam,ilam Tea State ",2008,NA 
"Ilam,ilam Tea State ",2009,1243
"Ilam,ilam Tea State ",2010,NA
"Ilam,ilam Tea State ",2011,NA
"Ilam,ilam Tea State ",2012,NA 
"Dhanusha,Janakpur Airport  ",2001,1775
"Dhanusha,Janakpur Airport  ",2002,1591
"Dhanusha,Janakpur Airport  ",2003,2008
"Dhanusha,Janakpur Airport  ",2004,2199
"Dhanusha,Janakpur Airport  ",2005,1307
"Dhanusha,Janakpur Airport  ",2006,1292
"Dhanusha,Janakpur Airport  ",2007,2563
"Dhanusha,Janakpur Airport  ",2008,1211
"Dhanusha,Janakpur Airport  ",2009,1320
"Dhanusha,Janakpur Airport  ",2010,964
"Dhanusha,Janakpur Airport  ",2011,NA
"Dhanusha,Janakpur Airport  ",2012,1042
"Jhapa, Kankai ",2001,244
"Jhapa, Kankai ",2002,2311
"Jhapa, Kankai ",2003,2748
"Jhapa, Kankai ",2004,2451
"Jhapa, Kankai ",2005,1832
"Jhapa, Kankai ",2006,1697
"Jhapa, Kankai ",2007,2495
"Jhapa, Kankai ",2008,2860
"Jhapa, Kankai ",2009,2568
"Jhapa, Kankai ",2010,3027
"Jhapa, Kankai ",2011,2622
"Jhapa, Kankai ",2012,1839
"Mustang,Jomsom ",2001,240
"Mustang,Jomsom ",2002,308
"Mustang,Jomsom ",2003,319
"Mustang,Jomsom ",2004,230
"Mustang,Jomsom ",2005,309
"Mustang,Jomsom ",2006,302
"Mustang,Jomsom ",2007,312
"Mustang,Jomsom ",2008,NA 
"Mustang,Jomsom ",2009,322
"Mustang,Jomsom ",2010,286
"Mustang,Jomsom ",2011,222
"Mustang,Jomsom ",2012,215
"Jumla,Jumla ",2001,728
"Jumla,Jumla ",2002,842
"Jumla,Jumla ",2003,843
"Jumla,Jumla ",2004,685
"Jumla,Jumla ",2005,670
"Jumla,Jumla ",2006,748
"Jumla,Jumla ",2007,832
"Jumla,Jumla ",2008,967
"Jumla,Jumla ",2009,696
"Jumla,Jumla ",2010,795
"Jumla,Jumla ",2011,945
"Jumla,Jumla ",2012,785
"Kailali, Dhangadi ",2001,1485
"Kailali, Dhangadi ",2002,1626
"Kailali, Dhangadi ",2003,2309
"Kailali, Dhangadi ",2004,1418
"Kailali, Dhangadi ",2005,1742
"Kailali, Dhangadi ",2006,1448
"Kailali, Dhangadi ",2007,2602
"Kailali, Dhangadi ",2008,2677
"Kailali, Dhangadi ",2009,2286
"Kailali, Dhangadi ",2010,2070
"Kailali, Dhangadi ",2011,1822
"Kailali, Dhangadi ",2012,883
"Kanchanpur,  Mahendranagar ",2001,1407
"Kanchanpur,  Mahendranagar ",2002,2006
"Kanchanpur,  Mahendranagar ",2003,NA 
"Kanchanpur,  Mahendranagar ",2004,NA 
"Kanchanpur,  Mahendranagar ",2005,1680
"Kanchanpur,  Mahendranagar ",2006,1056
"Kanchanpur,  Mahendranagar ",2007,NA 
"Kanchanpur,  Mahendranagar ",2008,NA 
"Kanchanpur,  Mahendranagar ",2009,2843
"Kanchanpur,  Mahendranagar ",2010,1949
"Kanchanpur,  Mahendranagar ",2011,1593
"Kanchanpur,  Mahendranagar ",2012,1666
"Kaski, Lumle ",2001,5936
"Kaski, Lumle ",2002,5730
"Kaski, Lumle ",2003,6310
"Kaski, Lumle ",2004,6096
"Kaski, Lumle ",2005,4923
"Kaski, Lumle ",2006,4162
"Kaski, Lumle ",2007,6056
"Kaski, Lumle ",2008,5902
"Kaski, Lumle ",2009,4873
"Kaski, Lumle ",2010,5700
"Kaski, Lumle ",2011,5653
"Kaski, Lumle ",2012,4689
"Kaski, Pokhara  Airport ",2001,4512
"Kaski, Pokhara  Airport ",2002,4484
"Kaski, Pokhara  Airport ",2003,4362
"Kaski, Pokhara  Airport ",2004,4129
"Kaski, Pokhara  Airport ",2005,2967
"Kaski, Pokhara  Airport ",2006,3024
"Kaski, Pokhara  Airport ",2007,4272
"Kaski, Pokhara  Airport ",2008,3263
"Kaski, Pokhara  Airport ",2009,3256
"Kaski, Pokhara  Airport ",2010,3967
"Kaski, Pokhara  Airport ",2011,3487
"Kaski, Pokhara  Airport ",2012,3266
"Kathmandu, Airport  ",2001,1621
"Kathmandu, Airport  ",2002,1871
"Kathmandu, Airport  ",2003,1740
"Kathmandu, Airport  ",2004,1583
"Kathmandu, Airport  ",2005,1236
"Kathmandu, Airport  ",2006,1391
"Kathmandu, Airport  ",2007,1346
"Kathmandu, Airport  ",2008,1220
"Kathmandu, Airport  ",2009,1205
"Kathmandu, Airport  ",2010,1479
"Kathmandu, Airport  ",2011,1655
"Kathmandu, Airport  ",2012,1465
"Lamjung, Khudibazar ",2001,314
"Lamjung, Khudibazar ",2002,3304
"Lamjung, Khudibazar ",2003,3849
"Lamjung, Khudibazar ",2004,3849
"Lamjung, Khudibazar ",2005,2838
"Lamjung, Khudibazar ",2006,2852
"Lamjung, Khudibazar ",2007,3372
"Lamjung, Khudibazar ",2008,3690
"Lamjung, Khudibazar ",2009,2642
"Lamjung, Khudibazar ",2010,3281
"Lamjung, Khudibazar ",2011,3338
"Lamjung, Khudibazar ",2012,3099
"Makawanpur, Hetauda ",2001,2680
"Makawanpur, Hetauda ",2002,3323
"Makawanpur, Hetauda ",2003,2998
"Makawanpur, Hetauda ",2004,3103
"Makawanpur, Hetauda ",2005,2411
"Makawanpur, Hetauda ",2006,2114
"Makawanpur, Hetauda ",2007,2588
"Makawanpur, Hetauda ",2008,2134
"Makawanpur, Hetauda ",2009,2125
"Makawanpur, Hetauda ",2010,2676
"Makawanpur, Hetauda ",2011,2587
"Makawanpur, Hetauda ",2012,1626
"Manang, Chame ",2001,530
"Manang, Chame ",2002,909
"Manang, Chame ",2003, NA
"Manang, Chame ",2004,974
"Manang, Chame ",2005,1174
"Manang, Chame ",2006,947
"Manang, Chame ",2007,1683
"Manang, Chame ",2008,1017
"Manang, Chame ",2009,482
"Manang, Chame ",2010,1235
"Manang, Chame ",2011,NA
"Manang, Chame ",2012,NA 
"Morang,Biratnagar Airport ",2001,2279
"Morang,Biratnagar Airport ",2002,1923
"Morang,Biratnagar Airport ",2003,2108
"Morang,Biratnagar Airport ",2004,2144
"Morang,Biratnagar Airport ",2005,1596
"Morang,Biratnagar Airport ",2006,1300
"Morang,Biratnagar Airport ",2007,2117
"Morang,Biratnagar Airport ",2008,1700
"Morang,Biratnagar Airport ",2009,1690
"Morang,Biratnagar Airport ",2010,1870
"Morang,Biratnagar Airport ",2011,1920
"Morang,Biratnagar Airport ",2012,1058
"Nawalparasi, Dumkauli  ",2001,297
"Nawalparasi, Dumkauli  ",2002,2591
"Nawalparasi, Dumkauli  ",2003,3280
"Nawalparasi, Dumkauli  ",2004,2611
"Nawalparasi, Dumkauli  ",2005,2213
"Nawalparasi, Dumkauli  ",2006,2117
"Nawalparasi, Dumkauli  ",2007,3264
"Nawalparasi, Dumkauli  ",2008,1966
"Nawalparasi, Dumkauli  ",2009,1924
"Nawalparasi, Dumkauli  ",2010,2668
"Nawalparasi, Dumkauli  ",2011,2203
"Nawalparasi, Dumkauli  ",2012,2148
"Nuwakot,Nuwakot ",2001,2484
"Nuwakot,Nuwakot ",2002,2111
"Nuwakot,Nuwakot ",2003,2216
"Nuwakot,Nuwakot ",2004,2007
"Nuwakot,Nuwakot ",2005,1589
"Nuwakot,Nuwakot ",2006,1255
"Nuwakot,Nuwakot ",2007,1550
"Nuwakot,Nuwakot ",2008,NA 
"Nuwakot,Nuwakot ",2009,882
"Nuwakot,Nuwakot ",2010,NA
"Nuwakot,Nuwakot ",2011,NA
"Nuwakot,Nuwakot ",2012,NA 
"Okhaldhunga,Okhaldhunga ",2001,2192
"Okhaldhunga,Okhaldhunga ",2002,2001
"Okhaldhunga,Okhaldhunga ",2003,1716
"Okhaldhunga,Okhaldhunga ",2004,1619
"Okhaldhunga,Okhaldhunga ",2005,1902
"Okhaldhunga,Okhaldhunga ",2006,1696
"Okhaldhunga,Okhaldhunga ",2007,2180
"Okhaldhunga,Okhaldhunga ",2008,NA 
"Okhaldhunga,Okhaldhunga ",2009,1594
"Okhaldhunga,Okhaldhunga ",2010,1574
"Okhaldhunga,Okhaldhunga ",2011,1896
"Okhaldhunga,Okhaldhunga ",2012,1721
"Palpa , Tansen ",2001,-
"Palpa , Tansen ",2002,-
"Palpa , Tansen ",2003,1799
"Palpa , Tansen ",2004,1509
"Palpa , Tansen ",2005,1294
"Palpa , Tansen ",2006,1130
"Palpa , Tansen ",2007,1571
"Palpa , Tansen ",2008,1536
"Palpa , Tansen ",2009,1344
"Palpa , Tansen ",2010,1734
"Palpa , Tansen ",2011,1129
"Palpa , Tansen ",2012,1942
"Bara, Nijghad ",2001,2130
"Bara, Nijghad ",2002,2524
"Bara, Nijghad ",2003,2326
"Bara, Nijghad ",2004,2929
"Bara, Nijghad ",2005,NA
"Bara, Nijghad ",2006,NA
